		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	rr[1]	0.001565	0.001527	5.772E-5	2.656E-4	0.001159	0.005252	1	10000
	rr[2]	0.001612	0.001556	5.596E-5	2.785E-4	0.001195	0.00542	1	10000
	rr[3]	0.00153	0.001504	5.735E-5	2.563E-4	0.001137	0.00516	1	10000
	rr[4]	0.001596	0.001537	5.633E-5	2.786E-4	0.001176	0.005405	1	10000
	rr[5]	0.001565	0.001526	5.789E-5	2.696E-4	0.001159	0.005194	1	10000
	rr[6]	0.001636	0.001626	5.894E-5	2.809E-4	0.001195	0.00553	1	10000
	rr[7]	0.001604	0.001635	6.075E-5	2.591E-4	0.00117	0.005448	1	10000
	rr[8]	0.001531	0.001511	5.902E-5	2.545E-4	0.001132	0.005091	1	10000
	rr[9]	0.001634	0.001741	5.8E-5	2.769E-4	0.00118	0.005586	1	10000
	rr[10]	0.001582	0.001562	5.837E-5	2.58E-4	0.001163	0.005353	1	10000
	rr[11]	0.001689	0.001875	6.403E-5	2.885E-4	0.001212	0.005921	1	10000
	rr[12]	0.001656	0.001716	6.112E-5	2.772E-4	0.001201	0.005769	1	10000
	rr[13]	0.001569	0.001537	5.853E-5	2.663E-4	0.001157	0.005331	1	10000
	rr[14]	0.00162	0.00157	5.695E-5	2.837E-4	0.001194	0.005445	1	10000
	rr[15]	0.001601	0.001531	5.574E-5	2.791E-4	0.001184	0.005387	1	10000
	rr[16]	0.001647	0.001641	5.864E-5	2.848E-4	0.001201	0.005583	1	10000
	rr[17]	0.001609	0.001624	6.071E-5	2.594E-4	0.001176	0.005409	1	10000
	rr[18]	0.001647	0.001735	5.806E-5	2.739E-4	0.001189	0.005786	1	10000
	rr[19]	0.001639	0.001689	6.049E-5	2.7E-4	0.001194	0.005587	1	10000
	rr[20]	0.001576	0.001537	5.797E-5	2.704E-4	0.001168	0.005305	1	10000
	rr[21]	0.001612	0.001591	5.835E-5	2.838E-4	0.001179	0.005467	1	10000
